"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dff","dropout_rate","head_dim","learning_rate","n_heads","n_layers","window_size","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_loss","epoch/val_r_square"
"peach-sweep-24","failed","-","cridonoso","","2023-06-07T01:37:29.000Z","5823","u9aqay8r","2500","32","0.22800281980339224","16","0.01","4","2","200","9","0.000009999999747378752","0.15568169951438904","0.043254852294921875","0.14947554469108582","0.046719491481781006"
"fallen-sweep-19","failed","-","cridonoso","","2023-06-06T19:39:45.000Z","1480","u9aqay8r","2500","64","0.0974885219097879","32","0.01","1","1","200","9","0.000009999999747378752","0.143598735332489","0.04756087064743042","0.14949765801429749","0.049245476722717285"
"earnest-sweep-47","failed","-","cridonoso","","2023-06-09T04:17:42.000Z","1126","q1ntly1t","2500","64","0.0976499646658725","16","0.01","1","1","200","9","0.000009999999747378752","0.15198422968387604","0.042735278606414795","0.1497072875499725","0.053168416023254395"
"smooth-sweep-35","failed","-","cridonoso","","2023-06-10T03:37:27.000Z","1920","u9aqay8r","2500","32","0.04950779822370155","16","0.00001","2","1","200","9","0.000009999999747378752","0.15444953739643097","0.0809888243675232","0.14973588287830353","0.06329625844955444"
"sparkling-sweep-11","failed","-","cridonoso","","2023-06-05T17:42:30.000Z","1442","u9aqay8r","2500","16","0.3643135981311885","32","0.01","1","1","200","9","0.000009999999747378752","0.16337279975414276","0.066070556640625","0.14985701441764832","0.052630484104156494"
"fearless-sweep-40","failed","-","cridonoso","","2023-06-08T22:15:28.000Z","1917","q1ntly1t","2500","32","0.4156118570627537","16","0.01","2","1","200","9","0.000009999999747378752","0.1570139080286026","0.08880186080932617","0.1499931365251541","0.05970066785812378"
"lunar-sweep-14","failed","-","cridonoso","","2023-06-05T08:59:29.000Z","1200","q1ntly1t","2500","128","0.03997271302823718","16","0.0001","1","1","200","9","0.000009999999747378752","0.14994186162948608","0.0474281907081604","0.15018944442272186","0.04416537284851074"
"comfy-sweep-35","failed","-","cridonoso","","2023-06-08T12:00:42.000Z","1483","q1ntly1t","2500","16","0.09811531457950184","32","0.001","1","1","200","9","0.000009999999747378752","0.1597944349050522","0.064910888671875","0.15037871897220612","0.05578714609146118"
"wild-sweep-15","failed","-","cridonoso","","2023-06-06T14:29:30.000Z","1142","u9aqay8r","2500","16","0.3504258700006696","16","0.01","1","1","200","9","0.000009999999747378752","0.14835456013679504","0.04510408639907837","0.15050113201141355","0.03413444757461548"
"wild-sweep-50","failed","-","cridonoso","","2023-06-09T06:08:30.000Z","4377","q1ntly1t","2500","32","0.1561625212053956","32","0.00001","2","2","200","9","0.000009999999747378752","0.1620907485485077","0.02048015594482422","0.1510540395975113","0.018354833126068115"
