"Name","State","Notes","User","Tags","Created","Runtime","Sweep","clf_name","dataset_to_ft","dff","dropout_rate","fold","head_dim","learning_rate","n_heads","n_layers","paths","rand","clf","epoch/accuracy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_accuracy","epoch/val_loss","epoch/val_r_square","ft_dataset","probed","window_size","test_f1","test_precision","test_recall"
"rural-sweep-16","finished","-","cridonoso","","2023-06-20T19:50:47.000Z","152","bes7q1fe","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/0.80","0.2","mlp_att","0.8928571343421936","224","0.000009999999747378752","0.390197217464447","0.6644490957260132","0.699999988079071","0.8992877006530762","0.6971282958984375","./data/records/atlas/fold_1/atlas_20","0.80","200","0.5839369787974114","0.5921049080537257","0.5886581120467789"
"valiant-sweep-16","finished","-","cridonoso","","2023-06-21T20:10:17.000Z","236","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/0.80","0.2","mlp_att","0.9285714030265808","238","0.000009999999747378752","0.31138020753860474","0.6516265869140625","0.75","0.7582532167434692","0.6788350939750671","./data/records/atlas/fold_1/atlas_20","0.80","200","0.5823227758361862","0.591783883491607","0.5795010691763443"
"dashing-sweep-10","finished","-","cridonoso","","2023-06-21T20:04:07.000Z","202","dp72vzu8","mlp_att","atlas","64","0.3955","0","64","0.00001","4","1","winsize/500","0.2","mlp_att","0.762499988079071","293","0.000009999999747378752","0.6223448514938354","0.6615185737609863","0.44999998807907104","1.0555490255355835","0.7012379169464111","./data/records/atlas/fold_0/atlas_20","0.5","500","0.5814264399610707","0.5891319099152252","0.5800000000000001"
"brisk-sweep-32","finished","-","cridonoso","","2023-06-20T20:03:30.000Z","252","bes7q1fe","mlp_att","atlas","64","0.3955","2","64","0.00001","4","1","winsize/500","0.2","mlp_att","0.887499988079071","242","0.000009999999747378752","0.5597512125968933","0.7128344774246216","0.6499999761581421","0.9996549487113952","0.6237226724624634","./data/records/atlas/fold_2/atlas_20","0.5","500","0.5797864391587553","0.5825438580641726","0.5860000000000001"
"royal-sweep-11","finished","-","cridonoso","","2023-06-21T20:04:42.000Z","292","dp72vzu8","mlp_att","atlas","64","0.3955","0","64","0.00001","4","1","winsize/800","0.2","mlp_att","0.925000011920929","255","0.000009999999747378752","0.331046462059021","0.6936106085777283","0.6000000238418579","0.8506389856338501","0.6497718095779419","./data/records/atlas/fold_0/atlas_20","0.5","800","0.5744388087182205","0.5966328714599294","0.576"
"winter-sweep-21","finished","-","cridonoso","","2023-06-21T20:17:32.000Z","271","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","winsize/500","0.2","mlp_att","0.824999988079071","273","0.000009999999747378752","0.5492397546768188","0.6631906032562256","0.6499999761581421","0.8989874124526978","0.663776159286499","./data/records/atlas/fold_1/atlas_20","0.5","500","0.5696917295902068","0.5768531682443839","0.5760000000000001"
"usual-sweep-10","finished","-","cridonoso","","2023-06-20T19:47:05.000Z","198","bes7q1fe","mlp_att","atlas","64","0.3955","0","64","0.00001","4","1","winsize/500","0.2","mlp_att","0.9375","281","0.000009999999747378752","0.3606314361095429","0.698771595954895","0.550000011920929","1.0129631757736206","0.6411436200141907","./data/records/atlas/fold_0/atlas_20","0.5","500","0.5689009089723124","0.5737067334485937","0.568"
"visionary-sweep-50","finished","-","cridonoso","","2023-06-21T02:52:12.000Z","235","bes7q1fe","mlp_att","alcock","64","0.3955","1","64","0.00001","4","1","masking/1.00","0.2","mlp_att","0.6921119689941406","239","0.000009999999747378752","0.9060527086257936","0.6917643547058105","0.5520833134651184","1.2451882362365725","0.701388418674469","./data/records/alcock/fold_1/alcock_20","1.00","200","0.5674474066987695","0.6074627259549995","0.5748183178589364"
"mild-sweep-22","finished","-","cridonoso","","2023-06-21T20:19:16.000Z","246","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","winsize/800","0.2","mlp_att","0.887499988079071","233","0.000009999999747378752","0.4150475859642029","0.6912545561790466","0.6499999761581421","0.8942363858222961","0.6621464490890503","./data/records/atlas/fold_1/atlas_20","0.5","800","0.566344553153928","0.5682088289478955","0.5700000000000001"
"zany-sweep-22","finished","-","cridonoso","","2023-06-20T19:55:20.000Z","129","bes7q1fe","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","winsize/800","0.2","mlp_att","0.862500011920929","171","0.000009999999747378752","0.46866998076438904","0.6770251393318176","0.6499999761581421","0.9674842953681946","0.6138688325881958","./data/records/atlas/fold_1/atlas_20","0.5","800","0.5598124335725128","0.5642712104813051","0.558"
