"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","clf_name","dff","dropout_rate","fold","head_dim","learning_rate","n_epochs","n_heads","n_layers","nsp_fraction","nsp_prob","probed","pt_data","rand","subdataset","window_size","epoch/acc","epoch/accuracy","epoch/bce","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/rmse","epoch/val_acc","epoch/val_accuracy","epoch/val_bce","epoch/val_loss","epoch/val_r_square","epoch/val_rmse","test_acc","test_bce","test_f1","test_precision","test_r2","test_recall","test_rmse"
"toasty-sweep-2","finished","-","cridonoso","","2023-06-26T23:50:02.000Z","148","ild4h48p","2500","mlp_att","64","0.3955","0","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","0.6143215894699097","0.3668341636657715","0.6589810252189636","112","0.0010000000474974513","1.5734515190124512","0.49672508239746094","0.15397147834300995","0.6736842393875122","0.3368421196937561","0.6477677822113037","1.5116114616394043","0.48421043157577515","0.12313763797283173","0.6019362211227417","0.6717404127120972","0.28367541455697237","0.3207649043409509","0.3934897184371948","0.3081929765342971","0.184559628367424"
"fine-sweep-10","finished","-","cridonoso","","2023-06-28T08:46:30.000Z","78","bxwayaal","2500","mlp_cls","64","0.3955","1","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.40712466835975647","","64","0.0010000000474974513","1.4848963022232056","","","","0.3333333432674408","","1.649521827697754","","","","","0.26586186561169756","0.26909145213442764","","0.27022241460080726",""
"laced-sweep-9","finished","-","cridonoso","","2023-06-27T00:07:55.000Z","382","ild4h48p","2500","mlp_cls","64","0.3955","1","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.6190476417541504","","474","0.0010000000474974513","1.0119398832321167","","","","0.3499999940395355","","1.4324071407318115","","","","","0.260427056222415","0.26514288449679263","","0.2611257826570347",""
"visionary-sweep-11","finished","-","cridonoso","","2023-06-27T00:15:32.000Z","64","ild4h48p","2500","mlp_cls","64","0.3955","2","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.4197530746459961","","72","0.0010000000474974513","1.4019356966018677","","","","0.4000000059604645","","1.4371812343597412","","","","","0.23625162711883868","0.24760616379525727","","0.24071551593061025",""
"dark-sweep-8","finished","-","cridonoso","","2023-06-28T08:43:47.000Z","89","bxwayaal","2500","mlp_cls","64","0.3955","0","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.38693466782569885","","81","0.0010000000474974513","1.4899388551712036","","","","0.3263157904148102","","1.5399774312973022","","","","","0.2337745627643069","0.23390313626134737","","0.2449321762972109",""
"northern-sweep-7","finished","-","cridonoso","","2023-06-27T00:03:28.000Z","53","ild4h48p","2500","mlp_cls","64","0.3955","0","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.3703703582286834","","47","0.0010000000474974513","1.488178253173828","","","","0.22727273404598236","","1.7001519203186035","","","","","0.2242853781560267","0.2459648526513299","","0.2298860321690704",""
"cerulean-sweep-8","finished","-","cridonoso","","2023-06-27T00:04:26.000Z","204","ild4h48p","2500","mlp_cls","64","0.3955","0","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.3693467378616333","","218","0.0010000000474974513","1.529155731201172","","","","0.3368421196937561","","1.6228508949279783","","","","","0.21051163931861977","0.2174351354050602","","0.21999726291951072",""
"youthful-sweep-12","finished","-","cridonoso","","2023-06-27T00:16:40.000Z","96","ild4h48p","2500","mlp_cls","64","0.3955","2","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.33070865273475647","","101","0.0010000000474974513","1.6315606832504272","","","","0.28125","","1.6747506856918335","","","","","0.20862433288121904","0.26821172718484637","","0.22116119308786433",""
"olive-sweep-10","finished","-","cridonoso","","2023-06-27T00:14:19.000Z","68","ild4h48p","2500","mlp_cls","64","0.3955","1","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.2977099120616913","","61","0.0010000000474974513","1.6730834245681765","","","","0.1979166716337204","","1.766157150268555","","","","","0.20206397984816715","0.24171564359982955","","0.212525239526878",""
"tough-sweep-18","finished","-","cridonoso","","2023-06-27T01:00:41.000Z","126","ild4h48p","2500","mlp_att_lite","64","0.3955","2","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.2729658782482147","","130","0.0010000000474974513","1.6968095302581787","","","","0.25","","1.724109768867493","","","","","0.18648485443775772","0.22740923449818295","","0.255021059761666",""
"earthy-sweep-16","finished","-","cridonoso","","2023-06-27T00:50:00.000Z","145","ild4h48p","2500","mlp_att_lite","64","0.3955","1","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.3333333432674408","","163","0.0010000000474974513","1.6458028554916382","","","","0.2708333432674408","","1.6945887804031372","","","","","0.1816251725646616","0.1520347323986245","","0.2672414347032667",""
"lemon-sweep-16","finished","-","cridonoso","","2023-06-28T10:27:36.000Z","86","bxwayaal","2500","mlp_att_lite","64","0.3955","1","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.3358778655529022","","75","0.0010000000474974513","1.6583077907562256","","","","0.2604166567325592","","1.7172397375106812","","","","","0.17700975680957007","0.17756730836320053","","0.25717027002084075",""
"confused-sweep-4","finished","-","cridonoso","","2023-06-28T08:30:56.000Z","178","bxwayaal","2500","mlp_att","64","0.3955","1","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","0.7550890445709229","0.2569974660873413","0.5604790449142456","36","0.0010000000474974513","1.7215110063552856","0.6434288620948792","0.12866823375225067","0.6770833134651184","0.1666666716337204","0.5941889882087708","1.777912974357605","0.6313076019287109","0.1259993612766266","0.6766839623451233","0.6158143877983093","0.12367078652381706","0.08574617209229489","0.6179258823394775","0.223594465962887","0.12780699133872986"
"kind-sweep-4","finished","-","cridonoso","","2023-06-26T23:55:05.000Z","165","ild4h48p","2500","mlp_att","64","0.3955","1","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","0.6501272320747375","0.241730272769928","0.6380558013916016","46","0.0010000000474974513","1.7476569414138794","0.5600758790969849","0.14424151182174683","0.59375","0.15625","0.6483108997344971","1.7701797485351562","0.5789178609848022","0.11869103461503984","0.607253909111023","0.663835346698761","0.09355401884086138","0.13028059990324142","0.5159190893173218","0.18679762997944815","0.16507303714752197"
"splendid-moon-40","running","-","cridonoso","","2023-06-29T01:42:12.000Z","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wobbly-hill-39","finished","-","cridonoso","","2023-06-29T01:39:07.000Z","183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
